,Rolling singlescore Average,Rolling singlescore Standard Deviation,Rolling multiscore Average,Rolling multiscore Standard Deviation,Rolling clkspd Average,Rolling clkspd Standard Deviation,Rolling numcores Average,Rolling numcores Standard Deviation,Rolling numthreads Average,Rolling numthreads Standard Deviation,Rolling year Average,Rolling year Standard Deviation
82,-2.7277865834909427,-6.354748574222202,-4.031221728554945,-4.240661582546661,-1.220901866426384,-0.8890979223032789,-3.2386784521643803,-3.40617254708874,-3.970291913552122,-4.099319727648686,-2.469158292819923,0.0
83,-2.7210525513095987,-5.742860858411154,-4.028701777620431,-4.243290900042271,-1.6386370671263624,-1.933125490737785,-3.2386784521643803,-3.40617254708874,-3.970291913552122,-4.099319727648686,-2.351375257163508,-0.20273255405405852
84,-2.716031620259499,-5.591720422474689,-4.030381039140151,-4.241437080526455,-1.4594067029020807,-1.508926033096118,-3.2386784521643803,-3.40617254708874,-3.970291913552122,-4.099319727648686,-2.246014741505656,
85,-2.7110357730661274,-5.661601393662268,-4.341300201336747,-7.49265048557261,-1.4594067029020807,-1.508926033096118,-3.931825632724326,,-4.663439094112068,,-2.246014741505656,
86,-2.704413232305634,-5.917014205545266,-4.348204716683291,-8.137996498894001,-1.1896868470784596,-0.6484646572732088,-3.931825632724326,,-4.663439094112068,,-2.246014741505656,
87,-2.6994749506650515,-6.610161386105236,-4.366853275761364,-7.172727219646865,-1.2381224641780544,-0.5958890829078989,-3.931825632724326,,-4.663439094112068,,-2.246014741505656,
88,-2.6978342612075914,-6.610161386105236,-4.038819907786015,-4.139488273976895,-1.0570423724721647,-0.691480597782469,-3.2386784521643803,-3.40617254708874,-3.970291913552122,-4.099319727648686,-2.246014741505656,
89,-2.694560935862622,-6.354748574222229,-3.804887310480988,-3.9664678825483133,-1.1211669006417033,-0.6797693461647886,-2.833213344056216,-3.2034399930346575,-3.564826805443958,-3.896587173594603,-2.246014741505656,
90,-2.6896709505684306,-6.119746759599353,-3.787599645897194,-3.9927889745309226,-1.0046110095742147,-0.7552144127912324,-2.833213344056216,-3.2034399930346575,-3.564826805443958,-3.896587173594603,-2.246014741505656,
91,-2.684804760917258,-5.742860858411157,-3.6132198912687956,-3.996722977303324,-1.273479682506291,-1.4391117597182113,-2.545531271604435,-3.2034399930346575,-3.2771447329921766,-3.896587173594603,-2.246014741505656,
92,-2.678353125635769,-5.550029618005163,-3.604399547425823,-4.025191386365534,-1.208780505894039,-1.8269962672907842,-2.545531271604435,-3.2034399930346575,-3.2771447329921766,-3.896587173594603,-2.246014741505656,
93,-2.67194284727485,-5.742860858411157,-3.604399547425823,-4.025191386365534,-1.1594167827757031,-1.5089911201860104,-2.545531271604435,-3.2034399930346575,-3.2771447329921766,-3.896587173594603,-2.246014741505656,
94,-2.6671619616745077,-6.119746759599353,-3.6038508505670634,-4.024133847688525,-1.2136114331637047,-1.357038143576415,-2.545531271604435,-3.2034399930346575,-3.2771447329921766,-3.896587173594603,-2.246014741505656,
95,-2.662403824228091,-6.354748574222229,-3.4576463987756143,-4.20411424913184,-1.3048138386767267,-1.4433680121025128,-2.322387720290225,-3.40617254708874,-3.054001181677967,-4.099319727648686,-2.246014741505656,
96,-2.6592442639377225,-6.610161386105236,-3.448212366542256,-4.188640857645646,-1.4051765488412207,-1.2688325465953347,-2.322387720290225,-3.40617254708874,-3.054001181677967,-4.099319727648686,-2.246014741505656,
97,-2.657668219482257,-6.610161386105236,-3.450092066343833,-4.175881840392454,-1.3481810677918566,-1.286708576937427,-2.322387720290225,-3.40617254708874,-3.054001181677967,-4.099319727648686,-2.246014741505656,
98,-2.656094655034826,-6.812893940159332,-3.623236669512267,-3.9912978785535285,-1.5134739241723565,-2.1595461578005715,-2.545531271604435,-3.2034399930346575,-3.2771447329921766,-3.896587173594603,-2.246014741505656,
99,-2.652954935030159,-6.812893940159332,-3.624355863809282,-3.993394446283815,-1.5134739241723565,-2.1595461578005715,-2.545531271604435,-3.2034399930346575,-3.2771447329921766,-3.896587173594603,-2.246014741505656,
100,-2.6482637614542783,-5.742860858411162,-3.7647899245025624,-4.050934135711936,-1.3621282952727072,-1.4305846770547779,-2.833213344056216,-3.2034399930346575,-3.564826805443958,-3.896587173594603,-2.246014741505656,
101,-2.642042901579176,-5.411213749706026,-3.9779959040528605,-4.281986549776759,-1.3181651718515905,-1.5908836952536822,-3.2386784521643803,-3.40617254708874,-3.970291913552122,-4.099319727648686,-2.246014741505656,
